CSE 5311,DESIGN AND ANALYSIS OF ALGORITHMS,002-LEC(81821),TuTh 2:00PM - 3:20PM,PKH 107,Vangelis Metsis,08/22/2013 - 12/04/2013
CSE 5311,DESIGN AND ANALYSIS OF ALGORITHMS,003-LEC(89276),TuTh 3:30PM - 4:50PM,WH  210,Gautam Das,08/22/2013 - 12/04/2013
CSE 5315,NUMERICAL METHODS,001-LEC(84012),MoWe 1:00PM - 2:20PM,WH  210,Darin Brezeale,08/22/2013 - 12/04/2013
CSE 5322,SOFTWARE DESIGN PATTERNS,001-LEC(81823),TuTh 5:30PM - 6:50PM,NH  112,David C Kung,08/22/2013 - 12/04/2013
CSE 5324,SOFTWARE ENGINEERING: ANALYSIS DESIGN AND TESTING,001-LEC(81824),TuTh 11:00AM - 12:20PM,ERB 130,Yu Lei,08/22/2013 - 12/04/2013
CSE 5324,SOFTWARE ENGINEERING: ANALYSIS DESIGN AND TESTING,003-LEC(89392),MoWe 7:00PM - 8:20PM,NH  112,David Levine,08/22/2013 - 12/04/2013
CSE 5325,SOFTWARE ENGINEERING: MANAGEMENT MAINTENANCE AND QUALITY ASSURANCE,001-LEC(84138),TuTh 11:00AM - 12:20PM,WH  308,Bahra Khalili Najafabadi,08/22/2013 - 12/04/2013
CSE 5330,DATABASE SYSTEMS,001-LEC(81825),MoWe 5:30PM - 6:50PM,NH  229,Kulsawasd Jitkajornwanich,08/22/2013 - 12/04/2013
CSE 5330,DATABASE SYSTEMS,002-LEC(88863),TuTh 11:00AM - 12:20PM,GS  109,Dimitrios Zikos,08/22/2013 - 12/04/2013
CSE 5334,DATA MINING,001-LEC(81826),MoWe 4:00PM - 5:20PM,WH  402,Chengkai Li,08/22/2013 - 12/04/2013
CSE 5339,SPECIAL TOPICS IN DATABASE SYSTEMS,001-LEC(88865),TuTh 9:30AM - 10:50AM,WH  208,Dimitrios Zikos,08/22/2013 - 12/04/2013
CSE 5344,COMPUTER NETWORKS,001-LEC(81827),MoWe 7:00PM - 8:20PM,NH  229,Hao Che,08/22/2013 - 12/04/2013
CSE 5350,COMPUTER ARCHITECTURE II,001-LEC(81828),MoWe 5:30PM - 6:50PM,NH  110,David Levine,08/22/2013 - 12/04/2013
CSE 5360,ARTIFICIAL INTELLIGENCE I,001-LEC(81829),TuTh 12:30PM - 1:50PM,WH  308,Manfred Huber,08/22/2013 - 12/04/2013
CSE 5369,SPECIAL TOPICS IN INTELLIGENT SYSTEMS,001-LEC(81830),MoWe 5:30PM - 6:50PM,COBA141,Gian-Luca Mariottini,08/22/2013 - 12/04/2013
CSE 5380,INFORMATION SECURITY 1,001-LEC(81831),MoWe 4:00PM - 5:20PM,SH  103,Matthew Wright,08/22/2013 - 12/04/2013
CSE 6324,ADVANCED TOPICS IN SOFTWARE ENGINEERING,001-LEC(86771),TuTh 12:30PM - 1:50PM,ERB 130,Yu Lei,08/22/2013 - 12/04/2013
CSE 6339,SPECIAL TOPICS IN ADVANCED DATABASE SYSTEMS,002-LEC(84013),MoWe 4:00PM - 5:20PM,ERB 129,Chris H Q Ding,08/22/2013 - 12/04/2013
CSE 6349,SPECIAL TOPICS IN ADVANCED NETWORKING,001-LEC(89568),TuTh 11:00AM - 12:20PM,SH  315,Yonghe Liu,08/22/2013 - 12/04/2013
CSE 6350,ADVANCED TOPICS IN COMPUTER ARCHITECTURE,001-LEC(86807),MoWe 5:30PM - 6:50PM,ERB 129,Hao Che,08/22/2013 - 12/04/2013
CSE 6363,MACHINE LEARNING,001-LEC(81892),MoWe 2:30PM - 3:50PM,ERB 129,Heng Huang,08/22/2013 - 12/04/2013
CSE 6388,SPECIAL TOPICS IN ADVANCED INFORMATION SECURITY,001-LEC(81893),TuTh 5:30PM - 6:50PM,ERB 130,Yu Lei,08/22/2013 - 12/04/2013
